- kgethegilego	special
bagologolo / batala	ancient people
bahlabaneladino ba bogareng	central defence
baka	tackle
bakgethi	electorate
baktheria	bacterium
bala	count
bala / go fa dinomoro	numerate / enumerate
balekane bao yo motee a nago le phetetšo	discordant couple
balela / khalekhuleita	calculate
bangwaledi ba ngwako	table officers
baniše	varnish
banyatšegi	underdogs
baopedi ba mmino wa okhesetera	mediocre orchestra
bapa	adjacent
bapatša / rekiša / maketa	market
bapetša	compare
bapetšego	parallel
bar mitzvah / moletlowa bašemane ba Majuda wa kamogelobogolong	bar mitzvah
baromelwa bao ba kgethegilego / kemedi yeo e kgethegilego	special delegate
batamelana	neighbour
batametša / lekanetša	round off
batho ba maswanedi a go bouta / batho ba maloka a go bouta	voting population
batho bao ba ka fetetšwago gabonolo / batho bao ba lego kotsing ya go fetetšwa	vulnerable group
batho bao ba nago le AIDS / batho bao ba nago le phamokate / batho bao ba nago le sephamola	people living with Aids
batho bao ba phelago ka HIV le AIDS	people living with HIV and Aids / PLWHA
batho bao ba phelago le kokwanatlhoko ya HIV / batho bao ba phelago le kokwanatlhoko ya phamokate / batho bao ba phelago le kokwanatlhoko ya go fokotša mašole a mmele	people living with HIV
bašireletšasefoka	defending champions
bašomi	human resources
bašomi	labour force
bea	set
bea bakeng sa	substitute
bea legatong la / bea maemong a	replace
bea leihlo / hlapetša	monitor
bea magareng / fetša maatla	neutralise
bea mohlala / hlola ketapele	create a precedent / set a precedent
bea sebakeng sa / tšeela bodulo	displace
beakanya	arrange
beakanya	sort
beakanya / hloma	install
beakanya khamphani leswa / maatlafatša khamphani	rationalise
bedi / pedi	dual
beela / bea	lay
beiklaete	bakelite
beise / veise	vase
beke	week
bela	boil
belefe / velefe	valve
belega / tswala / hlatša	give birth
bemikhulaete / vemikhulaete	vermiculite
bera, šašetša	sprinkle
bere ya diphoulong	polar bear
betiela / khena	canning / tinning
betla	sculpt
bikhara	beaker
bilione	billion
bilwana / leswikamaknethe	lodestone
binika / vinika	vinegar
bithamine	vitamin
bithirolaete / galasekgabišo	vitrolite
bitiela / swinelela	seal
bitio ya mmino	music video
bjala	sow
bjala / kopela / hlabega	plant
bjalolla	replant
bjalolla	transplant
bjang	grass
bjang bja go rulela	thatch
bjoko	brain
boagi / kago	construction
boakalalo bja maphego	wingspan
boakhitheke / bohlamadipolane	architecture
boakotši / boakgotši	substitution
boalelotena	brick ledge
boalo	blinding
boalo / boikalo	plane
boalo bja kota	wooden base
boalo go ya ka botelele le bophara	surface area
boalogodu	stomach lining
boalokgwara	base course
boalopopelo / endomethiriamo	endometrium / uterus lining
boalotheo	footing
bobedi	both
bobedi	second
bobedi / gabedi	double
bobetlitikološi / bofehlitikološi	lathe work
bobjana	childhood
bobolokelo	storage
bodidi	poverty
bodikela	west
bodudi	citizenship
bodulo bja ntlwana	toilet seat
bodulo bja tlhago bja diphedi	natural habitat
boelanoka / kelelanoka	down-river
boeletša	repeat
boeletši go tša matlotlo	intermediary
boemafofane	airport
boemakepe bja tlhago	natural anchorage
boemedi bja tekatekano / kemedi go ya ka bontši bja bouto	proportional representation / PR / list system
boemo	rating
boemo bja seela	liquid state
boemo bja solite	solid state
boemo bjo bo emišitšwego / boemo bjo bo kgaoditšwego	lapsed status
boemofasefase	lowest point
boentšenere	engineering
boentšenerebopo	coastal engineering
boentšenereelekhetheroniki	electronics engineering / electronic engineering
boentšenerehaeteroliki	hydraulic engineering
boentšenereintaseteri	industrial engineering
boentšenerekago	construction engineering
boentšenerekakanyo	design engineering
boentšenerekakanyokago	civil engineering
boentšenerekelelatšhila	sanitary engineering
boentšenerekelelotšhila	waste-water engineering
