- kgethegilego	special
boentšenerekhemikhale	chemical engineering
boentšenerekhomphyutha	computer engineering
boentšeneremananeotsela	transportation engineering
boentšeneremananeotshepedišo	control engineering
boentšeneremoepo	mining engineering
boentšeneremotsesetoropo	urban engineering
boentšenerenano	nano-engineering
boentšenerephetlekomobu / boentšeneretsinkelomobu	geotechnical engineering
boentšenerephofo	aerospace engineering
boentšenerepopegokago	structural engineering
boentšeneretemothuo	agricultural engineering
boentšeneretikologo	environmental engineering
boentšeneretirišo / boentšeneretšhomišo	applied engineering
boentšeneretlhamopolane	architectural engineering
boentšeneretšhene	mechanical engineering
boentšeneretšhišinyegofase	earthquake engineering / seismic engineering
boentšeneretšweletšo	manufacturing engineering
boentšenerphetheroliamo	petroleum engineering
boetapele bja ka senneng	patriarchal leadership
boetapele tlhohleletšong	cheerleading
boetša morago / phetolopeakanyo / fetola seemo / fetola tulo	invert / turn around
bofa / tiiša / kurufela	tighten
bofebe / bokobaobane	promiscuity
bofederale / federalisimo	federalism
bofefo	light
bofelo / mafelelo	end
bofelo / mafelelo	last / final
bofofu	blindness
bofokelaphefo	downwind
bofokodi	weakness
bofora bja dipoelo tša dikgetho	vote fraud
bofora bja maikemišetšo	intentional false statement
bogale	courage
bogale	pungent
bogale	sharp
bogaleng	blade
boganaphetogo	conservatism
bogare	centre
bogare bja lepatlelo	midfield
bogato	tread
bogatšu / go hwa bokidi	paraesthesia / paresthesia
bogobe / boswa	porridge
bogobe bja lehea / bogobe bja lefela	maize porridge
bogodimo	height
bogodimo	surface
bogodimo / botelele / bophagamo	height
bogodimo bja lefase	outer shell
bogodimoporogo	bridge deck
bogogedi	magnetism
bogole / go se itekanele	disability
bogoletlhago	birth defect
bogolo	adulthood
bogolo / boelo	size
bogolo / saese	size
bogolo / tekanyo / bokaalo	dimension
bogolo bja go lekana	equal size
bogolo bja maletere / dihlaka / fonte	font
bogolofadi bja go hlolwa ke kgobalo ya bjoko / kgolofalobjoko	cerebral palsy
bogomakgahlišo / bokgahlo	freezing point
bogomapono	horizon
bogomo	level
bogomo bja maatla a maknete	magnetic field
bogomomeetse	water level
bogomothetelo	saturation point
bogwebanoši	sole proprietorship
bohlabaneladino / leboto / tšhireletšo	defence / backline
bohlabela / bohlabatšatši	east
bohlale	wisdom
bohlami	design process
bohlami bja intastri / bohlami bja indastri / moakanyetšo wa intastri / moakanyetšo wa indastri	industrial design
bohlano	fifth
bohlapelanonyana / bohlapelanonyane	birdbath
bohlatse	evidence
bohlatse bja tšhupamong	proof of ownership
bohlatse bja tšhupatlotlo / sethifikheiti sa tšhupatlotlo	financial instrument
bohlatswetšadiaparo / londri / lontri	laundry
bohlobo	ethnicity
bohlodi	intelligence
bohlokomalokollo	arthralgia / joint pain
bohlokothapokgolo oto / sekiathika	sciatica
bohlokotsebe	earache / otalgia
bohlomesetšong bja phaephekelelatšhila	sewer stub / sewer connection
bohlweki bja motho	personal hygiene / personal cleanliness
bohlwekišetšo bja makhura	oil refinery
bohodu	theft
bohodu bja ka lebenkeleng	shoplifting
bohumi	wealth
bohwa bja bosetšhaba	national heritage
bohwa bja go se hlalosege	intangible heritage
bohwa bja jese	jazz heritage
boikalafo	self-medication
boikalo bja lefase / naga	earth’s surface
boikano bja go swara sephiri	declaration of secrecy
boikarabelo	accountability
boikarabelo bja tona	ministerial responsibility
boikemo go tša matlotlo	financial independence
boikgantšho / boikgokgomošo	pride
boikgantšho bja setšo	cultural pride
boikgethelo go tša thobalano	sexual choice
boikgogelomorago	abstention
boikhutšo	recess
boikilelo / boitimo / boikgaogantšho	abstinence
boikoketšo	replication
boikokobetšo	humility
boikokotlelo / palusetereiti	balustrade
boikomišo bja setho sa bosadi pele ga thobalano	dry sex
boima	heavy
boima	load
boima	mass
boima	weight
boima / kimelo	weight
boima bja lesea le le sa tšwago go belegwa	birth weight
boimafefo	lightweight
boimapampiri / boimalephephe	paperweight
boingwadišo / go retšisetara	registration
boingwadišo ka bontši / go retšisetara ka bontši	registration sweep
boipapatšo	branding
boipato / boiphihlakalefelo / khamafolatše	camouflage
boipelaetšo	appeal
boipelaetšo	protest
boipobolo / boipolelo	confession
boiponagatšo / ba gona	appearance
boipontšho	mirroring
boitekanelo	fitness
boitekelo / teko	experiment
boitekelo bja kalafi	medical experiment
boiteko / boitekelo / maitekelo / boitapišo	effort
boitemogelo	experience
boitemogelo bja tirišo / boitemogelotirišo	practical experience
boitemogo bja babaso / phahlologo ya babaso	black consciousness
boithabišo	entertainment
boithabišo ka go latswa ditho tša bosadi	cunnilingus
boithabišo ka go latswa ntoto	fellatio / blow job
boithomedi	initiative
boithomelotlhabollo	development initiative
boithuti ka inthanete	e-learning
boitirelodijo bja mehlare ka mahlasedi / phothosinthesisi	photosynthesis
boitirišo / boomo / makatika	simulation
boitlamo bja go lefela / tlamego ya go lefela	financial obligation
boitlamo bja go lliša	indemnity
boitlhahlobo	self-testing
boitlhompho	self-respect
boitsebišo	identity
boitsetsepelo / boematia	stability
boitshepo	confidence
boitshepo	confident
boitshepo / boikgantšho	self-esteem
boitshepokgwebong	business confidence
boitshwarahlephi / maitshwaro a kotsi	high-risk behaviour
boitshwaro bja phathi	party discipline
boitswadišo ntle le kamano ya bonna le bosadi	asexual reproduction
boitwantšho bja mašolemmele	autoimmune disease
boitwelomašolemmele / go itwela ga mašole a mmele	immune response
boitšhidullo	exercise
boitšhidullo bja boitokišetšo	warm-up
boitšhireletšo bja mmele malwetšing	immune system
bojane	hopper
bokaalotekano / bokaalo bja go lekana	equal amount
bokae	how much
bokagare	inside
bokagare / sekabora	intrados
bokagare / seripagaregare	innermost part
bokalelokwa / bokannete	net-like pattern
bokalotekanyophetetšo / boelotekanyophetetšo	infective dose / ID
bokantle	outside
bokantle / ponagalo ya ka ntle	external appearance
bokantle bja lefase / sekwakwa sa lefase / sekwakwata	earth’s crust
bokapele	foreground
bokapele / sekapelo	heart-shaped
bokapele bja lešela / bokantle bja lešela	face
bokapitale	capitalism
bokaripone / bokalente / bokalelente	ribbon-shaped
bokasilintara / bokasilintere	cylindrical
bokgabo bja 3-D	3-D decoration
bokgabo bja aletareng	altarpiece
bokgabo bja bogologolo / bokgabo bja setlelasiki	classical art
bokgabo bja dipheta tša setšo	traditional beadwork
bokgabo bja go aparega / botaki bja go aparega	wearable art
bokgabo bja go kgabiša	decorative art
bokgabo bja kota	wood art
bokgabo bja lefase	world art
bokgabo bja mabu	land art / earth art
bokgabo bja mopento	paint art
bokgabo bja sebjalebjale	modern art
bokgabo bja sebjalebjale / botaki bja sebjalebjale	contemporary art
bokgabo bja tiragatšo	performance art
bokgabo ka mašaledi	fossil art
bokgabo le setšo	arts and culture
bokgaboswika	plum stone
bokgoba	slavery
bokgoba / temalo / phetelelo	addiction
bokgoba bja diokobatši	drug addiction
bokgobapuku	library
bokgobelo / depho	depot
bokgole / monabo / sebaka / sekgoba	distance
bokgole / monabo / sebakana / sekgoba	distance
bokgole / monabo go dikologa / monabo go rarela	distance around
bokgoletekano / bokgole bja go lekana / sekgoba sa go lekana	equal distance
bokgoni	efficiency
bokgoni	skill
bokgoni	strengths
bokgoni bja botaki / bokgoni bja bokgabo	artistry
bokgoni bja go arola	division skill
bokgoni bja go bala le go ngwala bja bakgethi	voter literacy
bokgoni bja go beakanya sefala	stagecraft
bokgoni bja go ithomela	creativity
bokgoni bja go ithuta	study skills
bokgoni bja go ngwala le go bala	literacy
bokgoni bja go tšweletša go phala bangwe	comparative advantage
bokgoni bja tharollo ya marara	problem-solving skill
bokgoni bja theknolotši	technological capability
bokgoni bja tša matlotlo / litheresi ya tša matlotlo	financial literacy
bokgoni bja tšweletšo ya mošomo	output
bokgoni mminong	virtuosity
bokgonipalo	number skill
bokgonitšweletšontši	absolute advantage
bokgoša / bogwebi ka mmele	prostitution
bokokotelwafihlwa	blind nailing
bokoloniale / bothopi	colonialism
bokomonisi	communism
bokopano	joggle
bola / senyega	decay / rot
bola / senyega / sena	decompose
boladu / maladu	pus
bolago bonolo / bolago fela / senyegago fela	biodegradable
bolahlatšhila / bolahlamatlakala / letlaleng / sethobolo / totobolo	dump
bolamodi / bonamodi	arbitration
bolaodi bja bohwa	heritage management
bolaodiphethiši	executive authority
bolaoditatelano	bureaucracy
bolaya	kill
bolekadigale	adventure
bolekadigalekgwebong / maitekelo go tša kgwebo	business venture
bolekana / jeke	jug
bolekgolo	hundredth
bolekodi bja dipuku	bookkeeping
bolela nako	tell the time
bolementši / polelontši	multilingualism
bolemi / bolemirui	agriculture
bolemi / temo	farming
bolemikgwebo / kgwebo ka tša bolemi	commercial farming
boleng	value
boleng bja ditshenyagalelo	replacement value
boleng bja go neela pholisi	surrender value / cash surrender value
boleng bja lephelo / boemo bja bophelo	quality of life
boleng bja loune / boleng bja kadimišo	loan value
boleng bja meetse / khwalithi ya meetse	water quality
boleng bja thekišo	book value
boleng bja thekišo	market value
boleng bja thekišo / boleng bja poreisi	retail value
boleng bja thekišo ge o reka	trade-in value
boleng bja tlhokomelo	quality of care
boleng bja tšeo di šetšego	net worth
boleng bjo bo kwanetšwego	agreed value
boleng go tšhelete	value for money
bolengmoka	total value
boleta / bonolo	easy
boloka	bury
boloka	reserve
bolokegilego	safe
bolotamabotlelo / bolotamabetlelo / bolotamapotlelo	bottle bank
bolotatlhago	nature reserve
bolotelo / sešego	time capsule
bolotša / ripa letlalo la pele la ntoto	circumcise / see also female circumcision
bolthetše / volthetše	voltage
bolume	volume
bolwetšhupa-AIDS / bolwetšhupa-phamokate yeo e tseneletšego / bolwetšhupa-sephamola seo se tseneletšego	Aids-defining illness
bolwetši	disease
bolwetši bja AIDS / phamokate / sephamola	Aids / AIDS / acquired immune deficiency syndrome
bolwetši bja Alzheimer	Alzheimer's disease
bolwetši bja digoro	rickets
bolwetši bja go amana le HIV	HIV-associated disease
bolwetši bja go amana le HIV	HIV-related disease
bolwetši bja go fetela	communicable disease / infectious disease
bolwetši bja go tšwa madi phetelela banneng / himofilia	haemophilia
bolwetši bja letšhollo / bolwetši bja letšhologo	diarrhoeal disease
bolwetši bja mafahla / TB	tuberculosis / TB
bolwetši bja monagano	psychiatric disorder
bolwetši bja monagano / phokolo ya monagano	mental dysfunction
bolwetši bja nako ye telele	chronic disease
bolwetši bja pelo	heart disease / cardiovascular disease
bolwetši bja samadikwe / bolwetši bja modukologo	airsickness
bolwetši bja swikiri / twetšiswikiri / taepetisi / daebethisi	diabetes
bolwetši bja tsela ya go hema	respiratory disease
bolwetši bja tšhitadingaka / bolwetši bja go se alafege	incurable disease
bolwetši bjoo bo fetelago ka thobalano	sexually transmitted infection / STI / sexually transmitted disease / STD / venereal disease / VD
bolwetši tshikapelo	coronary heart disease
bolwetšiabela	hereditary disease
bolwetšifelo	endemic disease
bolwetšihlolwakephišo	heat exhaustion
bolwetšikalopopelo / endomethereosisi	endometriosis
bolwetšimafahlahlolwa kemarela / asepesetosisi	asbestosis
bolwetšiphetošam malatlalo / vithiliko	vitiligo
bolwetšiphetošammalatlalo / vithiliko	vitiligo
bolwetšiswikiri 1	type 1 diabetes
bolwetšiswikiri 2	type 2 diabetes
bolwetšitlhobaelo	insomnia
bolwetšitshwenyomala	irritable bowel syndrome / IBS
bolwetšitšhikapelo	coronary heart disease
bolwetšitšhilafalodijong	food poisoning
bolwetšišika	genetic disease
bomaleba / mmakgonthe	validity
bomedišetšo	nursery
bomedišetšo	nutrient
bomedišetšopeu	seed bed
bomenemene / bofora	scam
bomonego / lefelomonego	absorption field
bompholo	toxicity
bonabo bja maphoto	wavelength
bonabophihlelo	bandwidth
bonagala	visible
bonagatšago	clear
bonagatšago	transparent
bonamelelo / setepisi	stairway / staircase
bonamelomanyokenyoke / setepisimanyokenyoke	spiral stairway / spiral staircase
bonega / hlaba ka mahlasedi	radiate
bong	gender
bong	sex
bong	sex / gender
bong / mong	gender
bongpedi	bisexual
bongwaledi	secretariat
bonna goba botshadi	opposite sex
bonnoši / botee	single
bonnyane bja thekgo	threshold
bonolo	simple
bontlesekabora	extrados
bontšha	show
bontšha / laetša	display
bontšhi	numerous
bontšhi / kelo / seelwa	quantity
bontši	majority / majority vote
bontši	mass
bontši	most
bontši	quantity
bontši bja boitlhamelo	manufactured majority
bontši bja mošomo	labour intensity
bontši bja peditharong	two-third majority / qualified majority / supermajority
bontši bja peditharong	two-thirds majority
bontšinyakegokgotleng / khoramo	quorum
bontšiphetišo	absolute majority
bonyelele / ramatiki	rheumatism
bookelo / sepetlele	hospital
bookelo bja balwetši ba go lwalela go hlokofala / lefelo la go hlokomela balwetši bao ba lego kgauswi le go hlokofala	hospice
bookeloimana	maternity hospital
bookelotšatši	day hospital
boopa	infertility
boopedi / bokgoni bja mmino	musicianship
bopa	mould / cast
bopa / hlama	make
bopa / tšweletša	manufacture
bopepeneneng	transparency
bophaphašetšo / bothwathwašetšo	hatchery
bophara	breadth
bophara	width
bophara / bopepetla	breadth / width
bophelo	life
bophelo / maphelo	health
bophelo bja sebjalebjale	modern living
bophelo bjo bo lekanetšego	decent life
bophelowatle	sea life
bophethišo	executive
bophiri	secrecy
boputlo / mosegoputlaganyo	cross-section
bora	bow
boradia / bomenemene	fraud
boradia bja dikgetho	electoral fraud
boraditaba	media
boraga	flock
borale	ore
borekhu	lacquer seal
borekhu	resin
borekhu bja akhreliki	acrylic resin
borekhu bja finolfomaltehaete / borekhu bja finolfomaldehaede	phenol formaldehyde resin
borekhu bja pholiyestara / resine ya pholiyestara	polyester resin
borekišetšong / lefelo la borekišetšo	point of sale / POS
boro	drill
boro ya kota	wood drill
boroba / dikokomane / mmose	moss
borofa	paw
borofataputa	cushioned paw
boroko	sleep
borokogolohlolwakenakhothiki / nakhosisi	narcosis
borokoroko / borokontši	somnolence
boromolani	aggression
boroteladikobo / bortelabolao	bed wetting / enuresis
borotlolo / boretlele / kherote	carrot
boroutšhe / sepelete sa go ikgabiša	brooch
borutho / bothitho	warmth
borwa	south
borwabodikela / borwabosobela / borwabophirima	south-west
borwabohlabela	south-east
borwana	bradawl
bosele / boletana / boletiana / bonolo / boleta	gentle
boselela / botshela	sixth
bosenyi	crime
bosenyi ka inthanete	cyber crime
boseramiki	ceramics
boseswai	eighth
boso	black
boso	weather
boso bja kgodi / boso bja mogodi / boso bja mmuane	misty day
boso bja pula	wet weather
boso bjo bo omilego	dry weather
bosodi	wane
bosomagareng	moderate weather
bosotšhiritšhiri	very hot weather
bosošiale / sošialisime	socialism
boswefe / bohwehle / bohwama / boalepino	albinism
botaki / bokgabo	fine arts
botaki bja go kgabiša / bokgabo bja go kgabiša	useful art
botate	fatherhood
botebo	depth
botebo / boteng / boyafase	depth
botee / yuniti	unit
botelele	length
botelele / bolele	length
botelelemoka	total length
boteleletekano	equal length
boteng / mothamo	capacity
bothata	hardness
bothata	toughness
bothata	trouble
bothata bja tikologo	environmental problem
bothekgi bja sehlopha ka matlotlo	team sponsorship
botho	humanity
botimamollo / lekgotla la ditimamollo	fire brigade
botlalo	detail
botlase	bottom
botlase / bofase	bottom
boto ya mathrikse / poto ya mathrikse	matrix board
botonakgolo / boporemia	premiership
botsebi / bokgoni	skill
botsebi / botswerere	skill
botseta / embasi / empasi	embassy
botshadi / tshadi	female
botsothwana	light brown
botswa	salinity
botswadišetšohlapi	fish farm
botswai	salinity
botšeakarolo bja badudi	citizen participation
botšeakarolo bja tekatekano	equal participation
botšiša	ask
botšo bja Afrika	Afrocentric
botšwa mahlalagading	adolescence
botšwamahlalagading	puberty
botšweletši	productivity
boute / kgetho / bouto	vote
boute ya makgaolakgang / voute ya makgaolakgang	casting vote
boute ya molomo / bouto ya molomo / vouto ya molomo	voice vote
boute ya sephiri / bouto ya sephiri / vouto ya sephiri / kgetho ya sephiri	secret vote
bouto	vote
bouto ya boikano	declaration vote
bouto ya go belaetša	disputed ballot
bouto ya go fošagala / bouto ya go phošagala	invalid vote
bouto ya go lebiša nkgetheng	candidate-centered ballot
bouto ya kgethotee	categorical ballot
bouto ya sephiring	secret vote
boutu / kgetha / vouta	vote
boutu ka poso	postal vote
boutu ya bobedi morago ga ngangišano	tendered ballot / tendered vote
boutu ya go ba le magomo	limited vote
boutu yeo e ikgethilego	special vote
boutu yeo e sentšwego	wasted vote
bowelamolora	ashpit
boya	coat
boya	fur
boya	wool
bošaedi dikgethong	voting irregularity
bošego	night
bošegogare	midnight
bošidi / bongobo	moist
budulela / pompela	inflate
bula	create space / run off the ball
bupi	meal
bupi bjo bosorolwana / bupi bjo bokheri / bupi bjo boyelo	yellow mealie meal
bupšana bja mosago	sawdust
butšwa	ripe
bušetšwa fase / bušetšwa tlase / theošwa / fološwa	relegate
daemetha ya ka gare / taemetha ya ka gare / molagare wa ka gare	inner diameter
dayote / tayote	diode
dekeseteromethorofene	dextromethorphan / DXM
dekeseterouse / mohutaswikiri	dextrose / dextroglucose
demokrasi ya kabagano / temokrasi ya kabagano	consociational democracy
depiti	debit
di hlarehlokatefo	cost-free medicine
di sa swanego / di sa lekanego	asymmetric
diagammele tšeo di tšwelelago ka bonnyane	micronutrient
diaparadikwakwa / tšabokerasetašia	crustacean
diaparamagapi	cold-blooded
diaparo	clothing
diaparo	outfit
diaparo tša dipopae	puppet clothing / puppet outfit
diaparo tša kgwele ya maoto / kere	soccer kit
diaparo tša setšo / diaparo tša setlogo	traditional clothes / traditional clothing
